Inventory ID,Description,Item Class,Posting Class,Brand,Description,Item Group,Sub Item Group,Trading Group,Sub Trading Group,Conversion Factor,UOM,Profit Margin Target,Supplier
DISPE0003,Dispenser Interleave Tissue White,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0004,MB Digital Dispenser,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0005,Dispenser Auto Janitor White,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0006,Dispenser Sanitiser Spray Soap 400ML White,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0007,Dispenser Pouch Foam Soap,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0008,Dispenser Mercury Hand Towel,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0009,Dispenser Mercury Deca Roll,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0010,Dispenser Mercury Pouch Foam Soap,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0011,Dispenser Barrel U-RO/1DC-LXE White,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0012,Dispenser Mercury Interleave Paper,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0013,Kimfay Hand Disinfectant Manual Dispenser,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0014,Kimfay Hand Disinfectant Automatic Dispenser,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0015,Foam Soap Adaptors Pin 1:6,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0016,White automatic sanitiser dispenser,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0017,Foam Soap Dispenser Liquid pumps,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0018,Foam Soap Dispenser Spray pumps,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0019,Red Window Dispenser accessory,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
